Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
SPSC,"Sps Commerce Inc",106.76,0.13,+0.12%,107.45,105.95,59527,"16:01 ET"
SPTN,"Spartannash Company",11.71,-0.13,-1.10%,11.98,11.61,212797,"16:01 ET"
SPXC,"SPX Corp",32.22,0.63,+1.99%,32.24,31.77,112308,06/13/19
SRCI,"Src Energy Inc",4.82,0.26,+5.70%,4.88,4.57,4490199,06/13/19
SRDX,"Surmodics Inc",41.9,1.5,+3.71%,41.94,40.25,116407,"16:02 ET"
SSD,"Simpson Manufacturing Company",66.18,0.86000000000001,+1.32%,66.21,65.51,107147,06/13/19
SSP,"E.W. Scripps Company",15.06,0.1,+0.67%,15.1,14.65,340364,"16:06 ET"
SSTK,"Shutterstock Inc",39.32,0.31,+0.79%,39.59,39.18,107095,06/13/19
STAR,"Istar Financial Inc",11.6,0.07,+0.61%,11.61,11.46,927531,06/13/19
STBA,"S&T Bancorp Inc",37.74,0.01,+0.03%,38.11,37.68,82919,"16:01 ET"
STC,"Stewart Information Services Corp",41.15,-0.32,-0.77%,41.33,40.85,65854,"16:03 ET"
STMP,"Stamps.com Inc",40.56,1.86,+4.81%,40.75,38.5,611280,"16:13 ET"
STRA,"Strayer Education",180.84,-0.21,-0.12%,182.29,179.81,96742,"16:03 ET"
SUP,"Superior Industries International",3.67,-0.3,-7.56%,3.99,3.64,448350,06/13/19
SUPN,"Supernus Pharm",32.1,0.55,+1.74%,32.11,31.48,359744,"16:01 ET"
SWM,"Schweitzer-Mauduit International",33.45,0.1,+0.30%,33.77,32.72,126230,06/13/19
SXC,"Suncoke Energy Inc",7.78,0.09,+1.17%,7.85,7.67,460190,06/13/19
SXI,"Standex International Corp",69.43,0.72000000000001,+1.05%,69.75,68.69,33821,06/13/19
SYKE,"Sykes Enterprises",27.21,0.6,+2.25%,27.28,26.43,182100,"16:01 ET"
TBI,"Trueblue Inc",21.83,0.58,+2.73%,22.05,21.2,518214,"16:03 ET"
TBK,"Triumph Bancorp",29.63,0.41,+1.40%,29.69,29.23,86367,"16:01 ET"
TCMD,"Tactile Systems Technology Inc",54.23,1.74,+3.31%,54.96,52.75,217034,"16:01 ET"
TG,"Tredegar Corp",16.26,-0.08,-0.49%,16.43,16.19,102178,"16:03 ET"
TGI,"Triumph Group",20.44,0.45,+2.25%,20.48,19.67,436730,"16:09 ET"
THRM,"Gentherm Inc",39.42,-0.25,-0.63%,39.79,38.95,151193,"16:01 ET"
TILE,"Interface Inc",15.36,0.43,+2.88%,15.38,15.01,213694,"16:01 ET"
TISI,"Team Inc",14.88,0.24,+1.64%,14.92,14.74,76270,06/13/19
TIVO,"Tivo Corp",6.9,0.12,+1.77%,6.97,6.79,955432,"16:06 ET"
TLRD,"Tailored Brands Inc",5.42,-0.12,-2.17%,5.58,5.05,9279342,06/13/19
TMP,Tompkinstrustco,80.77,0.7,+0.87%,81.46,79.76,33467,06/13/19
TMST,"Timken Steel Corp",7.26,0.02,+0.28%,7.58,7.16,387977,06/13/19
TNC,"Tennant Company",60.77,0.53,+0.88%,61.21,60.15,33979,06/13/19
TPRE,"Third Point Reinsurance Ltd CO",10.3,0.13,+1.28%,10.39,10.2,409780,"16:09 ET"
TRHC,"Tabula Rasa Healthcare Inc",46.27,-2.25,-4.64%,48.8,45.82,670903,"16:07 ET"
TRST,"Trustco Bank Corp NY",7.54,0.09,+1.21%,7.58,7.45,178750,"16:01 ET"
TTEC,"Teletech Hldgs",43.62,1.32,+3.12%,43.74,42.47,121240,"16:01 ET"
TTEK,"Tetra Tech Inc",72.57,-0.14,-0.19%,73.36,71.98,246307,"16:03 ET"
TTGT,"Techtarget Inc",20.25,0.27,+1.35%,20.25,19.98,149706,"16:01 ET"
TTI,"Tetra Technologies",1.54,0.07,+4.76%,1.55,1.47,276055,06/13/19
TTMI,"TTM Technologies",9.74,0.27,+2.85%,9.84,9.54,724930,"16:07 ET"
TTS,"Tile Shop Hldgs",4.16,0.04,+0.97%,4.23,4.11,225763,"16:06 ET"
TVTY,"Tivity Health",18.27,0.01,+0.05%,18.45,18,676905,"16:06 ET"
TWI,"Titan International",4.19,0.27,+6.89%,4.22,3.92,1097655,06/13/19
TYPE,"Monotype Imag. Hold.",16.34,0.12,+0.74%,16.41,16.21,123137,"16:01 ET"
