Symbol,Name
PLCE,Children's Place Inc
PLUS,Eplus Inc
PLXS,Plexus Cp
PMC,Pharmerica Corp
POWI,Power Integratn
POWL,Powell Inds Inc
PPBI,Pacific Premier Bncp
PRA,Pro-Assurance Corp
PRAA,Pra Group Inc
PRFT,Perficient Inc
PRGS,Progress Software
PRLB,Proto Labs Inc
PRSC,Providence Svc Cp
PSB,Business Parks
QHC,Quorum Health Corp
QLYS,Qualys Inc
QNST,Quinstreet Inc
QSII,Quality Systems Inc
RAVN,Raven Industries Inc
RCII,Rent-A-Center Inc
RECN,Resources Connect
REX,Rex American Resources Corp
RGEN,Repligen Cp
RGR,Sturm Ruger & Company
RGS,Regis Corp
RH,Restoration Hardware Holdings
RLI,Rli Corp
RMAX,Re/Max Holdings Inc
RMBS,Rambus Inc
ROCK,Gibraltar Ind Inc
ROG,Rogers Corp
ROIC,Retail Opp Invts Cp
RPT,Ramco-Gershenson Properties Trust
RRD,Donnelley [R.R.] & Sons Co.
RRGB,Red Robin Gourm
RRTS,Roadrunner Transportation Systems Inc
RT,Ruby Tuesday
RTEC,Rudolph Technologies
RUTH,Ruth's Hospitality
RYAM,Rayonier Advanced Materials Inc
SAFT,Safety Ins Group Inc
SAH,Sonic Automotive
SAIA,Saia Inc
SANM,Sanmina Corp
SBSI,Southside Bancshares
SCHL,Scholastic Cp
SCL,Stepan Company
SCMP,Sucampo Pharma Inc
SCSC,Scansource Inc
SCVL,Shoe Carnival Inc
SEDG,Solaredge Tech
SEM,Select Medical Holdings Corp
SENEA,Seneca Foods Cp A
SFBS,Servisfirst Bancs
SFLY,Shutterfly Inc
SFNC,Simmons First Natl
SGMS,Scientific Games
SHAK,Shake Shack Inc
SHLM,Schulman A Inc
SHOO,Steven Maddens Ltd
SIGI,Selective Ins Group
SJI,South Jersey Industries
SKYW,Skywest Inc
SLCA,U.S. Silica Holdings Inc
SMCI,Super Micro Computer
SMP,Standard Motor Products
SMTC,Semtech Corp
SNBR,Sleep Number Corporation
SNCR,Synchronoss Technolo
SONC,Sonic Cp
SPOK,Spok Holdings Inc
SPPI,Spectrum Pharma Inc
SPSC,Sps Commerce Inc
SPTN,Spartannash Company
SPXC,SPX Corp
SR,Spire Inc
SRCI,Src Energy Inc
SRDX,Surmodics Inc
SSD,Simpson Manufacturing Company
SSP,E.W. Scripps Company
SSTK,Shutterstock Inc
STBA,S&T Bancorp Inc
STC,Stewart Information Services Corp
STMP,Stamps.Com Inc
STRA,Strayer Education
SUP,Superior Industries International
SUPN,Supernus Pharm
SVU,Supervalu Inc
SWM,Schweitzer-Mauduit International
SXC,Suncoke Energy Inc
SXI,Standex International Corp
SYKE,Sykes Enterprises
TBI,Trueblue Inc
TESO,Tesco Corp
TG,Tredegar Corp
TGI,Triumph Group
THRM,Gentherm Inc
TILE,Interface Inc
TIME,Time Inc
TISI,Team Inc
TIVO,Tivo Corp
TLRD,Tailored Brands Inc
TMP,Tompkinstrustco
TMST,Timken Steel Corp
TNC,Tennant Company
TPRE,Third Point Reinsurance Ltd. Co
TREE,Lendingtree Inc
TREX,Trex Company
TRST,Trustco Bank Corp NY
TTEC,Teletech Hldgs
TTEK,Tetra Tech Inc
TTI,Tetra Technologies
TTMI,TTM Technologies I
TTS,Tile Shop Hldgs
TVTY,Tivity Health
TWI,Titan International
TYPE,Monotype Imag. Hold.
UBA,Urstadt Biddle Properties Inc
UCBI,United Comm Banks
UEIC,Universal Elect In
UFCS,United Fire Group I
UFI,Unifi Inc
UFPI,Universal Forest Prd
UHT,Universal Health Realty Income Trust
UIHC,United Insurance Hld
UNF,Unifirst Corp
UNT,Unit Corp
USCR,U S Concrete Inc
USPH,U.S. Physical Therapy
UVE,Universal Insurance Holdings Inc
UVV,Universal Corp
VAC,Marriot Vacations Worldwide Cor
VDSI,Vasco Data Security
VECO,Veeco Instrument
VG,Vonage Holdings
VIAV,Viavi Solutions
VICR,Vicor Cp
VIVO,Meridian Bioscience
VRA,Vera Bradley
VREX,Varex Imaging Corp
VRTS,Virtus Inv Prts
VRTU,Virtusa Corp
VRTV,Veritiv Corp
VSI,Vitamin Shoppe Inc
VSTO,Vista Outdoor Inc
VVI,Viad Corp
WABC,Westamerica Bancorp
WAGE,Wageworks Inc
WD,Walker & Dunlop
WDFC,W D 40 Co
WDR,Waddell & Reed Financial
WETF,Wisdomtree Invstmnts
WGO,Winnebago Industries
WING,Wingstop Inc
WIRE,Encore Wire Cp
WLH,William Lyon Homes
WNC,Wabash National Corp
WRLD,World Acceptance Cp
WSR,Whitestone REIT
WTS,Watts Water Technologies
WWE,World Wrestling Entertainment
WWW,Wolverine World Wide
XOXO,Xoxo Group Inc
XPER,Xperi Corp
ZEUS,Olympic Steel Inc
ZUMZ,Zumiez Inc
