Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
BDGE,"Bridge Bancorp Inc",28.49,0.31,+1.10%,28.23,28.79,27.95,27042,"16:01 ET"
BEAT,"Biotelemetry Inc",49.79,-0.06,-0.12%,49.82,50.21,48.73,249974,"16:11 ET"
BECN,"Beacon Roofing Suppl",33.52,-0.6,-1.76%,34.13,34.13,33.37,826485,"16:07 ET"
BGCP,"Bgc Partners Cl A",4.97,-0.05,-1.00%,5.02,5.08,4.87,3608694,"16:07 ET"
BGNE,"Beigene Ltd Ads",117.62,-7.47,-5.97%,125.4,125.4,116.95,339810,"16:07 ET"
BHF,"Brighthouse Financial Inc",38.45,-0.01,-0.03%,38.44,38.59,37.85,495672,"16:07 ET"
BIDU,"Baidu Inc",113.08,-0.93,-0.82%,112.81,113.29,111.6,4295313,"16:19 ET"
BIIB,"Biogen Inc",227.67,-3.59,-1.55%,230.49,231.42,226.96,1448670,"16:13 ET"
BKEP,"Blueknight Energy LP",1.08,0.01,+0.93%,1.07,1.11,1.05,101829,"16:01 ET"
BKNG,"Booking Holdings Inc",1775.5,-34.02,-1.88%,1808.2,1811.68,1772.72,321796,"16:19 ET"
BL,"Blackline Inc",48.96,-1.89,-3.72%,50.36,50.36,48.89,404246,"16:01 ET"
BLDR,"Builders Firstsource",15.43,0.08,+0.52%,15.31,15.65,15.31,595113,"16:13 ET"
BLKB,"Blackbaud Inc",79.56,-0.64,-0.80%,80.08,80.61,79.19,102493,"16:10 ET"
BLMN,"Bloomin' Brands Inc",19.91,0.06,+0.30%,19.92,20.16,19.83,1050713,"16:07 ET"
BLUE,"Bluebird Bio",117.66,-6.28,-5.07%,123.61,123.61,115.9,784676,"16:16 ET"
BMCH,"Bmc Stock Holdings",20.71,0.31,+1.52%,20.42,20.8,20.41,412538,"16:07 ET"
BMRN,"Biomarin Pharmaceuticals",80.84,-1.52,-1.85%,82.12,83.03,80.54,760509,"16:07 ET"
BNFT,Benefitfocus,26.75,0.49,+1.87%,26.18,26.86,25.81,304526,"16:07 ET"
BOKF,"Bok Financial Corp",75.52,0.04,+0.05%,75.48,75.68,74.07,141812,"16:01 ET"
BOLD,"Audentes Therapeutics Inc",37.95,-0.4,-1.04%,38.29,38.86,37.93,419922,"16:01 ET"
BPFH,"Boston Pvt Finl Hldg",11.15,0.02,+0.18%,11.13,11.22,11.01,324587,"16:13 ET"
BPMC,"Blueprint Medicines Corp",90.7,-0.24,-0.26%,90.82,91.07,88.84,272204,"16:10 ET"
BPOP,"Popular Inc",52.8,-0.45,-0.85%,53.25,53.46,52.53,422190,"16:07 ET"
BPR,"Brookfield Property REIT Inc",18.53,-0.35,-1.85%,18.81,18.84,18.48,2098716,"16:11 ET"
BRID,"Bridgford Foods Cp",28.43,-0.26,-0.91%,29.25,29.25,28.43,2089,"16:01 ET"
BRKL,"Brookline Bancorp",14.72,-0.07,-0.47%,14.78,14.83,14.59,185920,"16:13 ET"
BRKR,"Bruker Corp",45.55,-0.22,-0.48%,45.83,45.83,44.83,743094,"16:07 ET"
BRKS,"Brooks Automation",38.45,-0.92,-2.34%,38.79,38.98,37.96,371970,"16:11 ET"
BRY,"Berry Pete Corp",10.51,0.12,+1.15%,10.4,10.67,10.24,404134,"16:01 ET"
BUSE,"First Busey Corp",25.75,0.43,+1.70%,25.35,25.86,25.26,149419,"16:01 ET"
